track,artist,genres,followers,popularity,year
No Scrubs,TLC,"['dream pop', 'melancholia', 'shoegaze', 'slowcore']",1429321,82,1999
Zombie,The Cranberries,"['atl hip hop', 'contemporary r&b', 'dance pop', 'girl group', 'hip pop', 'r&b', 'urban contemporary']",4133979,82,1994
Toxicity,System Of A Down,"['irish rock', 'pop rock', 'rock']",4584881,83,2001
Californication,Red Hot Chili Peppers,"['alternative metal', 'nu metal', 'rap metal', 'rock']",11536253,82,1999
No Surprises,Radiohead,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",21498008,82,1997
Good Riddance (Time of Your Life),Green Day,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",10738634,81,1997
Everlong,Foo Fighters,"['modern rock', 'permanent wave', 'punk', 'rock']",15612062,81,1997
...Baby One More Time,Britney Spears,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",12093941,81,1999
All The Small Things,blink-182,"['dance pop', 'pop']",15415374,81,1999
Still D.R.E.,"Dr. Dre, Snoop Dogg","['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']",8571859,81,1999
The Kids Aren't Alright,The Offspring,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",12622630,81,1998
Under the Bridge,Red Hot Chili Peppers,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",12760650,80,1991
Break Stuff,Limp Bizkit,"['alternative metal', 'permanent wave', 'post-grunge', 'punk', 'rock', 'skate punk', 'socal pop punk']",5874814,80,1999
Hit 'Em Up - Single Version,"2Pac, Outlawz","['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",21498008,80,1998
Big Poppa - 2005 Remaster,The Notorious B.I.G.,"['alternative metal', 'funk metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",6461824,80,1994
Torn,Natalie Imbruglia,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",19322036,80,1997
Wannabe,Spice Girls,['gangster rap'],317944,80,1996
Enter Sandman,Metallica,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",10905092,80,1991
The Next Episode,"Dr. Dre, Snoop Dogg","['dance pop', 'europop', 'lilith', 'new wave pop', 'pop rock']",1044572,80,1999
Lovefool,The Cardigans,"['dance pop', 'girl group', 'pop']",3810368,79,1996
"What Is Love - 7"" Mix",Haddaway,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",28764756,79,1993
Heart-Shaped Box,Nirvana,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",12622630,79,1993
Hypnotize - 2014 Remaster,The Notorious B.I.G.,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",12760650,79,1997
California Love - Original Version,"2Pac, Roger, Dr. Dre","['lilith', 'new wave pop', 'permanent wave', 'pop rock', 'swedish pop']",1397142,79,1998
Bitter Sweet Symphony - Remastered 2016,The Verve,"['eurodance', 'europop']",397315,79,1997
What's Up?,4 Non Blondes,"['grunge', 'permanent wave', 'rock']",20562597,79,1992
Antologia,Shakira,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",10905092,79,1995
Say My Name,Destiny's Child,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",19322036,78,1999
